Region,Sector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,End_use
albania,Industrial,Oil products,White spirit & industrial spirit (SBP),WHITESP,Final consumption,Non-energy use in non-specified industry,NEINONSPEC,
albania,Industrial,Oil products,Lubricants,LUBRIC,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Oil products,Lubricants,LUBRIC,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Lubricants,LUBRIC,Final consumption,Non-energy use,NONENUSE,
albania,Industrial,Oil products,Lubricants,LUBRIC,Final consumption,Non-energy use in industry,NEIND,
albania,Industrial,"Crude, NGL, refinery feedstocks",Crude oil,CRUDEOIL,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Naphtha,NAPHTHA,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Oil products,Naphtha,NAPHTHA,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Naphtha,NAPHTHA,Final consumption,Non-energy use in industry,NEIND,
albania,Industrial,"Crude, NGL, refinery feedstocks",Natural gas liquids,NGL,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,"Crude, NGL, refinery feedstocks",Other hydrocarbons,NONCRUDE,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Refinery gas,REFINGAS,Energy industry own use and Losses,Non-specified (energy),ENONSPEC,
albania,Industrial,Oil products,Refinery gas,REFINGAS,Energy industry own use and Losses,Oil refineries,EREFINER,
albania,Industrial,Oil products,Refinery gas,REFINGAS,Energy industry own use and Losses,Energy industry own use,TOTENGY,
albania,Industrial,Oil products,Refinery gas,REFINGAS,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Electricity and Heat,Solar thermal,SOLARTH,Final consumption,Food and tobacco,FOODPRO,
albania,Electric Power,Oil products,Fuel oil,RESFUEL,Electricity output (GWh),Electricity output -main activity producer CHP plants,ELMAINC,Electricity
albania,Electric Power,Oil products,Fuel oil,RESFUEL,Electricity output (GWh),Electricity output -main activity producer electricity plants,ELMAINE,Electricity
albania,Electric Power,Oil products,Fuel oil,RESFUEL,Electricity output (GWh),Electricity output,ELOUTPUT,Electricity
albania,Electric Power,Oil products,Fuel oil,RESFUEL,Transformation processes,Main activity producer electricity plants,MAINELEC,Electricity
albania,Electric Power,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Transformation processes,Main activity producer electricity plants,MAINELEC,Electricity
albania,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output (GWh),Electricity output -main activity producer electricity plants,ELMAINE,Electricity
albania,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,Electricity
albania,Electric Power,Electricity and Heat,Solar photovoltaics,SOLARPV,Electricity output (GWh),Electricity output -main activity producer electricity plants,ELMAINE,Electricity
albania,Electric Power,Electricity and Heat,Solar photovoltaics,SOLARPV,Transformation processes,Main activity producer electricity plants,MAINELEC,Electricity
algeria,Transportation,Natural gas,Natural gas,NATGAS,Final consumption,Pipeline transport,PIPELINE,High Temperature Heat
algeria,Transportation,Oil products,Fuel oil,RESFUEL,Final consumption,Domestic navigation,DOMESNAV,High Temperature Heat
